Node_id,title,member_of,part_of,model,Language
4,"New Dragon Star","Menus Collection",,"Paged Content",English
7,Star,"Menus Collection",,"Paged Content","English, Chinese"
10,Romiós,"Menus Collection",,"Paged Content",English
13,"Beijing Restaurant","Menus Collection",,"Paged Content","English, Chinese"
16,"Kam Hing","Menus Collection",,"Paged Content","Spanish, Chinese"
22,"Kennedy Centre","Menus Collection",,"Paged Content",English
24,"Choi Kung","Menus Collection",,"Paged Content","English, Chinese"
27,"Brandy Ho's Hunan Food","Menus Collection",,"Paged Content",English
31,"All Seasons","Menus Collection",,"Paged Content",English
34,"Good Choices","Menus Collection",,"Paged Content","English, Chinese"
37,"Chinese Dumpling House","Menus Collection",,"Paged Content","English, Chinese"
40,"China Place","Menus Collection",,"Paged Content","English, Chinese"
43,"Lian Li Wok","Menus Collection",,"Paged Content",English
46,"[Restaurant name in Chinese]","Menus Collection",,"Paged Content","English, Chinese"
49,"Nan Xiang Xiao Long Bao","Menus Collection",,"Paged Content","English, Chinese"
52,"Tune Shing House","Menus Collection",,"Paged Content","English, Chinese"
55,"China Gate","Menus Collection",,"Paged Content",English
58,Tsang,"Menus Collection",,"Paged Content",English
61,"Sushi Tatsu","Menus Collection",,"Paged Content",English
64,Evergreen,"Menus Collection",,"Paged Content","English, Chinese"
67,"Peach Farm Restaurant","Menus Collection",,"Paged Content","English, Chinese"
70,"Broadway China","Menus Collection",,"Paged Content",English
73,"Café Asean","Menus Collection",,"Paged Content",English
76,"Harvey Lo's Restaurant","Menus Collection",,"Paged Content","English, Chinese"
78,"Sam Woo Chinese B.B.Q.","Menus Collection",,"Paged Content","English, Chinese"
81,VP-2-Go,"Menus Collection",,"Paged Content","English, Chinese"
84,"Excellent Pork Chop House","Menus Collection",,"Paged Content","English, Chinese"
87,"[Restaurant name in Chinese]","Menus Collection",,"Paged Content","English, Chinese"
90,"Golden Dragon Boat","Menus Collection",,"Paged Content","English, Chinese"
92,"Pho So 1","Menus Collection",,"Paged Content","English, Chinese, Vietnamese"
95,"Yu Hua","Menus Collection",,"Paged Content","English, Chinese"
97,[Undetermined],"Menus Collection",,"Paged Content","English, Chinese"
99,"New King Wah","Menus Collection",,"Paged Content","English, Chinese"
101,"Fortune Star","Menus Collection",,"Paged Content","English, Chinese"
104,"Eyili Kabab King","Menus Collection",,"Paged Content","English, Chinese"
106,"International Restaurant","Menus Collection",,"Paged Content",English
109,"Seafood Palace","Menus Collection",,"Paged Content","English, Chinese"
112,"Chinese Meals to Take Away","Menus Collection",,"Paged Content",English
115,"Bistrot La Saveur","Menus Collection",,"Paged Content",French
118,"[Unidentified menu]","Menus Collection",,"Paged Content",Chinese
120,"Golden Chopstick Noodle House","Menus Collection",,"Paged Content","English, Chinese"
123,Tang,"Menus Collection",,"Paged Content","English, Chinese"
126,"Sesame Tree","Menus Collection",,"Paged Content","English, Chinese"
129,"Golden City","Menus Collection",,"Paged Content","English, Chinese"
132,"Hunan Manor","Menus Collection",,"Paged Content",English
135,"Golden Rod","Menus Collection",,"Paged Content",English
138,"Manna House Bakery","Menus Collection",,"Paged Content","English, Chinese"
141,"No 1. Chinese Restaurant","Menus Collection",,"Paged Content","English, Chinese"
143,"Hong Kong Clay Pot City Restaurant","Menus Collection",,"Paged Content","English, Chinese"
146,"Wah Fai Restaurant","Menus Collection",,"Paged Content","English, Chinese"
148,"Dragon Palace","Menus Collection",,"Paged Content","English, Chinese"
156,"Wing Lok Kitchen","Menus Collection",,"Paged Content",English
159,"MaMa Buddha","Menus Collection",,"Paged Content",English
162,"Panda Express","Menus Collection",,"Paged Content",English
165,"Commerce Food Court & La Boulangerie Bakery","Menus Collection",,"Paged Content",English
168,"Siu's Kitchen","Menus Collection",,"Paged Content",English
171,"Lee Man Fong","Menus Collection",,"Paged Content","English, Chinese, Vietnamese"
185,"Vegetarian Palate","Menus Collection",,"Paged Content",English
188,"Szechuan Palace","Menus Collection",,"Paged Content",English
192,"[Menu from Japan]","Menus Collection",,"Paged Content",Japanese
194,"Food Chow City III","Menus Collection",,"Paged Content","English, Chinese"
196,"Brick Lane Curry House","Menus Collection",,"Paged Content",English
199,"Tsunami Japanese Cuisine","Menus Collection",,"Paged Content",English
201,"Gran China","Menus Collection",,"Paged Content",Spanish
205,"China Grill","Menus Collection",,"Paged Content",English
208,"Mama's Chicken","Menus Collection",,"Paged Content",English
